상품주문번호,주문번호,결제일,주문상태,상품명,옵션정보,수량,상품가격,옵션가격,판매가,구매자명,배송지,결제수단
20260403-0000839,20260403-0000839,2026-04-03 18:49:42,배송완료,신의 탑 키링,색상/타입:옐로우,1,12000,0,12000,구매자4360,대구광역시,네이버페이
20260403-0000840,20260403-0000840,2026-04-03 09:39:12,배송중,냐한 남자 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자6151,서울특별시,네이버페이
20260403-0000841,20260403-0000841,2026-04-03 14:10:09,배송완료,냐한 남자 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자4460,대전광역시,네이버페이
20260403-0000842,20260403-0000842,2026-04-03 13:40:43,배송완료,마루는 강쥐 스티커팩,색상/타입:레어,2,6500,0,13000,구매자7379,광주광역시,계좌이체
20260403-0000843,20260403-0000843,2026-04-03 14:45:18,배송완료,마루는 강쥐 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자5458,부산광역시,신용카드
20260403-0000844,20260403-0000844,2026-04-03 22:39:37,발송준비,외모지상주의 키링,색상/타입:블루,1,12000,0,12000,구매자1745,광주광역시,신용카드
20260403-0000845,20260403-0000845,2026-04-03 19:10:28,배송완료,냐한 남자 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자3761,서울특별시,네이버페이
20260403-0000846,20260403-0000846,2026-04-03 09:22:56,배송완료,마루는 강쥐 키링,색상/타입:블루,2,13500,0,27000,구매자2854,서울특별시,네이버페이
20260403-0000847,20260403-0000847,2026-04-03 17:42:05,배송중,가비지타임 봉제 인형,색상/타입:S,3,39000,0,117000,구매자8123,광주광역시,신용카드
20260403-0000848,20260403-0000848,2026-04-03 17:26:17,발송준비,마루는 강쥐 파우치,색상/타입:핑크,4,22000,0,88000,구매자5747,광주광역시,신용카드
20260403-0000849,20260403-0000849,2026-04-03 18:44:31,발송준비,마루는 강쥐 키링,색상/타입:옐로우,1,13500,0,13500,구매자9398,서울특별시,네이버페이
20260403-0000850,20260403-0000850,2026-04-03 17:43:52,결제완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자8733,인천광역시,신용카드
20260403-0000851,20260403-0000851,2026-04-03 19:36:30,배송완료,마루는 강쥐 키링,색상/타입:그린,5,13500,0,67500,구매자7028,서울특별시,네이버페이
20260403-0000852,20260403-0000852,2026-04-03 18:44:03,결제완료,마루는 강쥐 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자2497,경기도,네이버페이
20260403-0000853,20260403-0000853,2026-04-03 08:24:02,배송완료,냐한 남자 티셔츠,색상/타입:S,1,32000,0,32000,구매자8502,인천광역시,신용카드
20260403-0000854,20260403-0000854,2026-04-03 13:41:43,배송완료,마루는 강쥐 키링,색상/타입:옐로우,1,13500,0,13500,구매자7644,서울특별시,신용카드
20260403-0000855,20260403-0000855,2026-04-03 20:05:03,배송완료,마루는 강쥐 포토카드 세트,색상/타입:3탄,2,9800,0,19600,구매자7770,대구광역시,네이버페이
20260403-0000856,20260403-0000856,2026-04-03 22:58:09,결제완료,가비지타임 키링,색상/타입:블루,1,12000,0,12000,구매자3969,경기도,신용카드
20260403-0000857,20260403-0000857,2026-04-03 10:55:37,배송완료,마루는 강쥐 봉제 인형,색상/타입:L,3,45000,0,135000,구매자9246,부산광역시,신용카드
20260403-0000858,20260403-0000858,2026-04-03 13:39:16,배송완료,외모지상주의 티셔츠,색상/타입:L,1,32000,0,32000,구매자5695,인천광역시,계좌이체
20260403-0000859,20260403-0000859,2026-04-03 17:38:29,배송완료,외모지상주의 키링,색상/타입:퍼플,1,12000,0,12000,구매자6536,대전광역시,네이버페이
20260403-0000860,20260403-0000860,2026-04-03 09:55:56,배송완료,가비지타임 파우치,색상/타입:핑크,2,22000,0,44000,구매자8233,전라북도,신용카드
20260403-0000861,20260403-0000861,2026-04-03 12:55:07,결제완료,신의 탑 포토카드 세트,색상/타입:3탄,1,9800,0,9800,구매자7321,경상남도,신용카드
20260403-0000862,20260403-0000862,2026-04-03 18:54:12,취소,가비지타임 파우치,색상/타입:핑크,1,22000,0,22000,구매자6780,충청남도,네이버페이
20260403-0000863,20260403-0000863,2026-04-03 19:43:05,발송준비,마루는 강쥐 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자1042,광주광역시,신용카드
20260403-0000864,20260403-0000864,2026-04-03 12:27:28,배송완료,마루는 강쥐 파우치,색상/타입:핑크,1,22000,0,22000,구매자4614,대구광역시,네이버페이
20260403-0000865,20260403-0000865,2026-04-03 19:17:05,결제완료,가비지타임 봉제 인형,색상/타입:L,1,39000,0,39000,구매자9899,인천광역시,신용카드
20260403-0000866,20260403-0000866,2026-04-03 18:51:35,결제완료,신의 탑 포토카드 세트,색상/타입:1탄,3,9800,0,29400,구매자4970,전라북도,신용카드
20260403-0000867,20260403-0000867,2026-04-03 20:31:28,결제완료,냐한 남자 티셔츠,색상/타입:M,1,32000,0,32000,구매자2203,경상남도,네이버페이
20260403-0000868,20260403-0000868,2026-04-03 12:13:09,배송완료,냐한 남자 봉제 인형,색상/타입:S,2,39000,0,78000,구매자4942,전라북도,신용카드
20260403-0000869,20260403-0000869,2026-04-03 19:56:48,배송완료,신의 탑 스티커팩,색상/타입:레어,2,6500,0,13000,구매자8999,광주광역시,네이버페이
20260403-0000870,20260403-0000870,2026-04-03 15:53:35,배송완료,신의 탑 키링,색상/타입:옐로우,1,12000,0,12000,구매자5931,서울특별시,네이버페이
20260403-0000871,20260403-0000871,2026-04-03 14:08:02,배송완료,냐한 남자 스티커팩,색상/타입:기본,1,6500,0,6500,구매자9176,대구광역시,신용카드
20260403-0000872,20260403-0000872,2026-04-03 12:51:47,배송완료,마루는 강쥐 티셔츠,색상/타입:S,1,32000,0,32000,구매자4552,전라북도,네이버페이
20260403-0000873,20260403-0000873,2026-04-03 12:09:17,배송완료,마루는 강쥐 파우치,색상/타입:네이비,1,22000,0,22000,구매자1746,대구광역시,네이버페이
20260403-0000874,20260403-0000874,2026-04-03 17:04:49,결제완료,외모지상주의 파우치,색상/타입:네이비,2,22000,0,44000,구매자2698,전라북도,신용카드
20260403-0000875,20260403-0000875,2026-04-03 11:57:34,배송중,마루는 강쥐 티셔츠,색상/타입:L,1,32000,0,32000,구매자8256,광주광역시,네이버페이
20260403-0000876,20260403-0000876,2026-04-03 18:39:32,배송완료,가비지타임 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자2584,광주광역시,신용카드
20260403-0000877,20260403-0000877,2026-04-03 19:17:09,배송완료,가비지타임 머그컵,색상/타입:블랙,3,18000,0,54000,구매자1587,서울특별시,신용카드
20260403-0000878,20260403-0000878,2026-04-03 13:12:13,배송완료,마루는 강쥐 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자8964,광주광역시,신용카드
20260403-0000879,20260403-0000879,2026-04-03 18:00:57,배송완료,냐한 남자 티셔츠,색상/타입:L,1,32000,0,32000,구매자9882,전라북도,네이버페이
20260403-0000880,20260403-0000880,2026-04-03 11:20:21,배송완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자6917,대구광역시,신용카드
20260403-0000881,20260403-0000881,2026-04-03 15:20:10,취소,마루는 강쥐 스티커팩,색상/타입:레어,2,6500,0,13000,구매자9781,서울특별시,신용카드
20260403-0000882,20260403-0000882,2026-04-03 14:49:30,배송완료,마루는 강쥐 파우치,색상/타입:핑크,1,22000,0,22000,구매자6977,부산광역시,신용카드
20260403-0000883,20260403-0000883,2026-04-03 20:56:27,배송완료,냐한 남자 티셔츠,색상/타입:M,1,32000,0,32000,구매자4178,전라북도,계좌이체
20260403-0000884,20260403-0000884,2026-04-03 11:43:27,배송완료,마루는 강쥐 파우치,색상/타입:베이지,1,22000,0,22000,구매자7012,서울특별시,네이버페이
20260403-0000885,20260403-0000885,2026-04-03 07:31:02,배송완료,신의 탑 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자1922,인천광역시,신용카드
20260403-0000886,20260403-0000886,2026-04-03 16:21:19,배송완료,냐한 남자 차량용 방향제,색상/타입:시트러스,1,14000,0,14000,구매자3986,광주광역시,신용카드
20260403-0000887,20260403-0000887,2026-04-03 19:29:39,배송중,가비지타임 봉제 인형,색상/타입:L,1,39000,0,39000,구매자9430,광주광역시,네이버페이
20260403-0000888,20260403-0000888,2026-04-03 14:25:16,배송완료,마루는 강쥐 파우치,색상/타입:핑크,1,22000,0,22000,구매자3104,서울특별시,네이버페이
20260403-0000889,20260403-0000889,2026-04-03 18:24:20,발송준비,가비지타임 포토카드 세트,색상/타입:1탄,3,9800,0,29400,구매자5214,경기도,네이버페이
20260403-0000890,20260403-0000890,2026-04-03 18:39:45,취소,마루는 강쥐 봉제 인형,색상/타입:M,3,45000,0,135000,구매자7850,충청남도,신용카드
20260403-0000891,20260403-0000891,2026-04-03 14:57:49,결제완료,냐한 남자 티셔츠,색상/타입:L,1,32000,0,32000,구매자4570,전라북도,네이버페이
20260403-0000892,20260403-0000892,2026-04-03 21:01:28,배송완료,가비지타임 파우치,색상/타입:핑크,3,22000,0,66000,구매자9208,대구광역시,네이버페이
20260403-0000893,20260403-0000893,2026-04-03 14:34:12,발송준비,외모지상주의 파우치,색상/타입:네이비,2,22000,0,44000,구매자8452,대전광역시,네이버페이
20260403-0000894,20260403-0000894,2026-04-03 15:11:19,배송완료,가비지타임 포토카드 세트,색상/타입:3탄,1,9800,0,9800,구매자2543,인천광역시,신용카드
20260403-0000895,20260403-0000895,2026-04-03 21:41:09,배송완료,가비지타임 포토카드 세트,색상/타입:2탄,3,9800,0,29400,구매자5835,광주광역시,신용카드
20260403-0000896,20260403-0000896,2026-04-03 16:25:53,배송완료,마루는 강쥐 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자8640,인천광역시,신용카드
20260403-0000897,20260403-0000897,2026-04-03 14:15:03,결제완료,냐한 남자 봉제 인형,색상/타입:L,2,39000,0,78000,구매자8170,충청남도,신용카드
20260403-0000898,20260403-0000898,2026-04-03 11:00:22,발송준비,마루는 강쥐 티셔츠,색상/타입:XL,1,32000,0,32000,구매자7398,충청남도,계좌이체
20260403-0000899,20260403-0000899,2026-04-03 18:45:25,결제완료,마루는 강쥐 차량용 방향제,색상/타입:시트러스,1,14000,0,14000,구매자4948,부산광역시,휴대폰
20260403-0000900,20260403-0000900,2026-04-03 15:09:39,배송완료,마루는 강쥐 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자2229,서울특별시,신용카드
20260403-0000901,20260403-0000901,2026-04-03 15:02:30,배송완료,마루는 강쥐 티셔츠,색상/타입:XL,1,32000,0,32000,구매자2242,충청남도,신용카드
20260403-0000902,20260403-0000902,2026-04-03 12:01:43,배송완료,냐한 남자 머그컵,색상/타입:화이트,4,18000,0,72000,구매자1256,경상남도,네이버페이
20260403-0000903,20260403-0000903,2026-04-03 08:42:26,배송완료,마루는 강쥐 티셔츠,색상/타입:XL,1,32000,0,32000,구매자3406,인천광역시,신용카드
20260403-0000904,20260403-0000904,2026-04-03 15:57:25,배송중,신의 탑 머그컵,색상/타입:화이트,1,18000,0,18000,구매자9452,경기도,신용카드
20260403-0000905,20260403-0000905,2026-04-03 16:40:07,배송완료,외모지상주의 스티커팩,색상/타입:레어,1,6500,0,6500,구매자6937,경기도,신용카드
20260403-0000906,20260403-0000906,2026-04-03 09:07:19,배송완료,마루는 강쥐 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자1922,전라북도,네이버페이
20260403-0000907,20260403-0000907,2026-04-03 17:58:58,배송완료,냐한 남자 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자3837,경기도,네이버페이
20260403-0000908,20260403-0000908,2026-04-03 10:10:35,배송완료,가비지타임 봉제 인형,색상/타입:M,1,39000,0,39000,구매자9057,광주광역시,네이버페이
20260403-0000909,20260403-0000909,2026-04-03 13:43:22,배송완료,가비지타임 파우치,색상/타입:베이지,1,22000,0,22000,구매자4277,경기도,네이버페이
20260403-0000910,20260403-0000910,2026-04-03 17:00:16,배송완료,가비지타임 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자8303,대전광역시,네이버페이
20260403-0000911,20260403-0000911,2026-04-03 18:06:15,배송완료,신의 탑 머그컵,색상/타입:화이트,1,18000,0,18000,구매자5468,충청남도,신용카드
20260403-0000912,20260403-0000912,2026-04-03 17:41:52,배송완료,냐한 남자 아크릴 스탠드,색상/타입:B타입,2,15000,0,30000,구매자1649,인천광역시,휴대폰
20260403-0000913,20260403-0000913,2026-04-03 18:19:30,배송완료,마루는 강쥐 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자8292,경기도,네이버페이
20260403-0000914,20260403-0000914,2026-04-03 16:09:34,취소,냐한 남자 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자8830,전라북도,네이버페이
20260403-0000915,20260403-0000915,2026-04-03 11:52:11,배송완료,냐한 남자 스티커팩,색상/타입:시즌2,2,6500,0,13000,구매자8870,광주광역시,신용카드
20260403-0000916,20260403-0000916,2026-04-03 21:58:15,배송완료,냐한 남자 아크릴 스탠드,색상/타입:B타입,1,15000,0,15000,구매자4839,전라북도,네이버페이
20260403-0000917,20260403-0000917,2026-04-03 00:26:19,배송중,가비지타임 포토카드 세트,색상/타입:3탄,1,9800,0,9800,구매자4020,충청남도,네이버페이
20260403-0000918,20260403-0000918,2026-04-03 20:56:40,배송완료,가비지타임 봉제 인형,색상/타입:M,1,39000,0,39000,구매자9559,인천광역시,신용카드
20260403-0000919,20260403-0000919,2026-04-03 13:17:49,취소,냐한 남자 차량용 방향제,색상/타입:우드,2,14000,0,28000,구매자8897,경기도,네이버페이
20260403-0000920,20260403-0000920,2026-04-03 02:32:44,배송완료,마루는 강쥐 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자5180,인천광역시,신용카드
20260403-0000921,20260403-0000921,2026-04-03 19:16:28,배송완료,냐한 남자 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자4204,광주광역시,신용카드
20260403-0000922,20260403-0000922,2026-04-03 14:26:18,배송완료,가비지타임 스티커팩,색상/타입:레어,1,6500,0,6500,구매자4453,대구광역시,네이버페이
20260403-0000923,20260403-0000923,2026-04-03 09:18:17,배송완료,신의 탑 봉제 인형,색상/타입:S,1,39000,0,39000,구매자8687,대구광역시,네이버페이
20260403-0000924,20260403-0000924,2026-04-03 14:39:29,배송완료,마루는 강쥐 포토카드 세트,색상/타입:3탄,1,9800,0,9800,구매자8764,충청남도,계좌이체
20260403-0000925,20260403-0000925,2026-04-03 20:04:28,배송중,마루는 강쥐 봉제 인형,색상/타입:L,1,45000,0,45000,구매자6934,경기도,휴대폰
20260403-0000926,20260403-0000926,2026-04-03 18:25:50,배송중,가비지타임 차량용 방향제,색상/타입:화이트머스크,5,14000,0,70000,구매자5885,경기도,휴대폰
20260403-0000927,20260403-0000927,2026-04-03 15:10:40,배송완료,마루는 강쥐 2026 다이어리,색상/타입:위클리,2,19000,0,38000,구매자8455,경기도,계좌이체
20260403-0000928,20260403-0000928,2026-04-03 12:39:07,발송준비,신의 탑 머그컵,색상/타입:블랙,2,18000,0,36000,구매자7880,서울특별시,신용카드
20260403-0000929,20260403-0000929,2026-04-03 18:46:02,배송완료,가비지타임 파우치,색상/타입:네이비,1,22000,0,22000,구매자6914,대전광역시,계좌이체
20260403-0000930,20260403-0000930,2026-04-03 18:02:35,배송중,마루는 강쥐 티셔츠,색상/타입:S,1,32000,0,32000,구매자2568,대전광역시,신용카드
20260403-0000931,20260403-0000931,2026-04-03 19:44:59,발송준비,외모지상주의 티셔츠,색상/타입:XL,1,32000,0,32000,구매자5610,서울특별시,네이버페이
20260403-0000932,20260403-0000932,2026-04-03 12:23:44,배송완료,외모지상주의 파우치,색상/타입:네이비,5,22000,0,110000,구매자4167,광주광역시,네이버페이
20260403-0000933,20260403-0000933,2026-04-03 22:21:56,배송중,마루는 강쥐 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자8534,대구광역시,네이버페이
20260403-0000934,20260403-0000934,2026-04-03 12:13:54,결제완료,냐한 남자 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자7938,인천광역시,신용카드
20260403-0000935,20260403-0000935,2026-04-03 14:41:52,배송중,냐한 남자 티셔츠,색상/타입:XL,1,32000,0,32000,구매자6870,부산광역시,신용카드
20260403-0000936,20260403-0000936,2026-04-03 21:37:51,배송완료,마루는 강쥐 티셔츠,색상/타입:S,1,32000,0,32000,구매자5750,전라북도,네이버페이
20260404-0000937,20260404-0000937,2026-04-04 12:53:07,배송완료,냐한 남자 스티커팩,색상/타입:시즌2,2,6500,0,13000,구매자5685,전라북도,네이버페이
20260404-0000938,20260404-0000938,2026-04-04 18:38:07,배송중,냐한 남자 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자6365,광주광역시,네이버페이
20260404-0000939,20260404-0000939,2026-04-04 17:11:58,배송완료,마루는 강쥐 티셔츠,색상/타입:M,1,32000,0,32000,구매자3630,서울특별시,신용카드
20260404-0000940,20260404-0000940,2026-04-04 18:03:47,배송완료,가비지타임 봉제 인형,색상/타입:L,1,39000,0,39000,구매자4437,인천광역시,네이버페이
20260404-0000941,20260404-0000941,2026-04-04 18:35:35,배송중,외모지상주의 포토카드 세트,색상/타입:3탄,1,9800,0,9800,구매자4605,충청남도,신용카드
20260404-0000942,20260404-0000942,2026-04-04 18:00:18,결제완료,외모지상주의 키링,색상/타입:옐로우,1,12000,0,12000,구매자7271,서울특별시,신용카드
20260404-0000943,20260404-0000943,2026-04-04 18:15:17,배송완료,신의 탑 차량용 방향제,색상/타입:시트러스,1,14000,0,14000,구매자9868,부산광역시,네이버페이
20260404-0000944,20260404-0000944,2026-04-04 11:04:07,결제완료,외모지상주의 스티커팩,색상/타입:기본,1,6500,0,6500,구매자1102,전라북도,신용카드
20260404-0000945,20260404-0000945,2026-04-04 18:54:10,배송완료,가비지타임 포토카드 세트,색상/타입:3탄,1,9800,0,9800,구매자8148,서울특별시,계좌이체
20260404-0000946,20260404-0000946,2026-04-04 11:18:30,배송완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자4135,경기도,네이버페이
20260404-0000947,20260404-0000947,2026-04-04 18:58:56,배송완료,마루는 강쥐 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자9289,전라북도,신용카드
20260404-0000948,20260404-0000948,2026-04-04 17:58:17,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:A타입,3,15000,0,45000,구매자3353,전라북도,신용카드
20260404-0000949,20260404-0000949,2026-04-04 21:42:00,배송완료,외모지상주의 티셔츠,색상/타입:L,2,32000,0,64000,구매자1043,대구광역시,신용카드
20260404-0000950,20260404-0000950,2026-04-04 19:51:28,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:C타입,1,15000,0,15000,구매자2929,전라북도,신용카드
20260404-0000951,20260404-0000951,2026-04-04 14:58:50,배송완료,냐한 남자 봉제 인형,색상/타입:L,1,39000,0,39000,구매자9055,광주광역시,네이버페이
20260404-0000952,20260404-0000952,2026-04-04 20:26:25,배송완료,마루는 강쥐 2026 다이어리,색상/타입:위클리,2,19000,0,38000,구매자3092,충청남도,네이버페이
20260404-0000953,20260404-0000953,2026-04-04 13:12:42,배송완료,가비지타임 차량용 방향제,색상/타입:화이트머스크,2,14000,0,28000,구매자2063,대전광역시,신용카드
20260404-0000954,20260404-0000954,2026-04-04 18:36:38,발송준비,가비지타임 파우치,색상/타입:핑크,1,22000,0,22000,구매자1438,경기도,네이버페이
20260404-0000955,20260404-0000955,2026-04-04 13:38:02,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:A타입,2,15000,0,30000,구매자3569,부산광역시,네이버페이
20260404-0000956,20260404-0000956,2026-04-04 09:24:50,배송완료,마루는 강쥐 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자2489,대전광역시,신용카드
20260404-0000957,20260404-0000957,2026-04-04 11:04:22,배송중,냐한 남자 티셔츠,색상/타입:L,5,32000,0,160000,구매자2501,대구광역시,신용카드
20260404-0000958,20260404-0000958,2026-04-04 15:03:54,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:C타입,2,15000,0,30000,구매자1179,광주광역시,신용카드
20260404-0000959,20260404-0000959,2026-04-04 01:36:14,발송준비,가비지타임 머그컵,색상/타입:화이트,1,18000,0,18000,구매자4832,부산광역시,계좌이체
20260404-0000960,20260404-0000960,2026-04-04 19:11:06,배송중,냐한 남자 키링,색상/타입:퍼플,1,12000,0,12000,구매자4130,광주광역시,신용카드
20260404-0000961,20260404-0000961,2026-04-04 04:10:02,배송완료,신의 탑 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자1172,대전광역시,신용카드
20260404-0000962,20260404-0000962,2026-04-04 16:18:39,취소,신의 탑 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자7588,광주광역시,신용카드
20260404-0000963,20260404-0000963,2026-04-04 13:26:31,배송완료,마루는 강쥐 티셔츠,색상/타입:S,1,32000,0,32000,구매자3794,서울특별시,네이버페이
20260404-0000964,20260404-0000964,2026-04-04 15:36:26,배송완료,가비지타임 스티커팩,색상/타입:시즌2,2,6500,0,13000,구매자6367,충청남도,신용카드
20260404-0000965,20260404-0000965,2026-04-04 17:10:04,취소,가비지타임 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자6859,대구광역시,네이버페이
20260404-0000966,20260404-0000966,2026-04-04 19:25:11,발송준비,냐한 남자 봉제 인형,색상/타입:S,1,39000,0,39000,구매자5481,서울특별시,신용카드
20260404-0000967,20260404-0000967,2026-04-04 16:26:13,배송중,가비지타임 스티커팩,색상/타입:기본,1,6500,0,6500,구매자7534,대전광역시,신용카드
20260404-0000968,20260404-0000968,2026-04-04 15:51:08,배송완료,냐한 남자 2026 다이어리,색상/타입:데일리,2,19000,0,38000,구매자6813,광주광역시,신용카드
20260404-0000969,20260404-0000969,2026-04-04 17:52:57,발송준비,가비지타임 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자1852,광주광역시,신용카드
20260404-0000970,20260404-0000970,2026-04-04 11:46:59,배송완료,가비지타임 머그컵,색상/타입:블랙,1,18000,0,18000,구매자8672,경상남도,계좌이체
20260404-0000971,20260404-0000971,2026-04-04 14:23:51,배송완료,냐한 남자 스티커팩,색상/타입:기본,1,6500,0,6500,구매자4269,서울특별시,신용카드
20260404-0000972,20260404-0000972,2026-04-04 16:06:13,배송완료,마루는 강쥐 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자3100,경상남도,네이버페이
20260404-0000973,20260404-0000973,2026-04-04 16:26:26,배송완료,외모지상주의 파우치,색상/타입:핑크,1,22000,0,22000,구매자6606,경기도,신용카드
20260404-0000974,20260404-0000974,2026-04-04 23:51:30,발송준비,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자2783,대구광역시,네이버페이
20260404-0000975,20260404-0000975,2026-04-04 18:16:44,배송중,마루는 강쥐 차량용 방향제,색상/타입:시트러스,1,14000,0,14000,구매자5356,서울특별시,신용카드
20260404-0000976,20260404-0000976,2026-04-04 16:36:52,배송완료,마루는 강쥐 2026 다이어리,색상/타입:데일리,3,19000,0,57000,구매자8107,부산광역시,신용카드
20260404-0000977,20260404-0000977,2026-04-04 16:08:00,배송중,외모지상주의 봉제 인형,색상/타입:M,1,39000,0,39000,구매자5130,인천광역시,신용카드
20260404-0000978,20260404-0000978,2026-04-04 10:27:25,발송준비,마루는 강쥐 아크릴 스탠드,색상/타입:B타입,1,15000,0,15000,구매자3942,경기도,네이버페이
20260404-0000979,20260404-0000979,2026-04-04 14:37:19,배송중,외모지상주의 포토카드 세트,색상/타입:2탄,2,9800,0,19600,구매자4865,대전광역시,계좌이체
20260404-0000980,20260404-0000980,2026-04-04 20:21:50,배송완료,가비지타임 봉제 인형,색상/타입:L,1,39000,0,39000,구매자2439,대전광역시,신용카드
20260404-0000981,20260404-0000981,2026-04-04 18:46:56,배송완료,신의 탑 스티커팩,색상/타입:레어,1,6500,0,6500,구매자8316,인천광역시,신용카드
20260404-0000982,20260404-0000982,2026-04-04 14:38:03,배송완료,마루는 강쥐 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자7193,충청남도,계좌이체
20260404-0000983,20260404-0000983,2026-04-04 11:39:50,취소,가비지타임 머그컵,색상/타입:화이트,1,18000,0,18000,구매자8513,전라북도,휴대폰
20260404-0000984,20260404-0000984,2026-04-04 22:43:53,배송완료,가비지타임 봉제 인형,색상/타입:M,1,39000,0,39000,구매자9673,인천광역시,네이버페이
20260404-0000985,20260404-0000985,2026-04-04 21:03:51,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자5034,광주광역시,네이버페이
20260404-0000986,20260404-0000986,2026-04-04 09:22:30,결제완료,가비지타임 키링,색상/타입:퍼플,2,12000,0,24000,구매자5001,경기도,네이버페이
20260404-0000987,20260404-0000987,2026-04-04 11:12:31,배송완료,외모지상주의 키링,색상/타입:옐로우,5,12000,0,60000,구매자4922,대구광역시,신용카드
20260404-0000988,20260404-0000988,2026-04-04 14:48:36,배송중,냐한 남자 키링,색상/타입:그린,2,12000,0,24000,구매자1807,광주광역시,신용카드
20260404-0000989,20260404-0000989,2026-04-04 10:57:37,배송완료,마루는 강쥐 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자3605,부산광역시,계좌이체
20260404-0000990,20260404-0000990,2026-04-04 09:16:15,배송완료,가비지타임 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자6628,부산광역시,휴대폰
20260404-0000991,20260404-0000991,2026-04-04 17:17:48,배송완료,마루는 강쥐 키링,색상/타입:그린,1,13500,0,13500,구매자9280,경상남도,네이버페이
20260404-0000992,20260404-0000992,2026-04-04 12:00:49,배송완료,신의 탑 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자9499,전라북도,네이버페이
20260404-0000993,20260404-0000993,2026-04-04 19:29:33,배송완료,냐한 남자 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자8867,전라북도,네이버페이
20260404-0000994,20260404-0000994,2026-04-04 10:52:24,배송완료,가비지타임 스티커팩,색상/타입:레어,1,6500,0,6500,구매자1000,전라북도,네이버페이
20260404-0000995,20260404-0000995,2026-04-04 09:38:54,발송준비,마루는 강쥐 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자6822,대구광역시,휴대폰
20260404-0000996,20260404-0000996,2026-04-04 20:15:49,배송완료,가비지타임 머그컵,색상/타입:블랙,2,18000,0,36000,구매자8687,광주광역시,신용카드
20260404-0000997,20260404-0000997,2026-04-04 18:09:05,배송완료,냐한 남자 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자2810,경기도,신용카드
20260404-0000998,20260404-0000998,2026-04-04 22:38:48,결제완료,마루는 강쥐 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자5329,대전광역시,신용카드
20260404-0000999,20260404-0000999,2026-04-04 13:14:30,배송완료,냐한 남자 머그컵,색상/타입:블랙,1,18000,0,18000,구매자9443,서울특별시,신용카드
20260404-0001000,20260404-0001000,2026-04-04 22:57:03,배송완료,외모지상주의 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자4961,대구광역시,신용카드
20260404-0001001,20260404-0001001,2026-04-04 16:00:02,발송준비,마루는 강쥐 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자7378,인천광역시,신용카드
20260404-0001002,20260404-0001002,2026-04-04 10:36:58,배송완료,냐한 남자 머그컵,색상/타입:블랙,1,18000,0,18000,구매자4296,경상남도,네이버페이
20260404-0001003,20260404-0001003,2026-04-04 16:06:00,배송완료,신의 탑 2026 다이어리,색상/타입:위클리,2,19000,0,38000,구매자9487,부산광역시,네이버페이
